product_id,retrieved_at,source_url,version,version_type
amazon_echo_alexa,2026-06-25T14:56:59Z,not_collected,unknown,unknown
amazon_echo_dot,2026-06-25T14:56:59Z,not_collected,unknown,unknown
amazon_echo_show,2026-06-25T14:56:59Z,not_collected,unknown,unknown
sony_wh1000xm5,2026-06-25T14:56:59Z,not_collected,unknown,unknown
sony_wh1000xm6,2026-06-25T14:56:59Z,not_collected,unknown,unknown
sony_wh1000xm4,2026-06-25T14:56:59Z,not_collected,unknown,unknown
sony_wh1000x_series,2026-06-25T14:56:59Z,not_collected,unknown,unknown
wyze_cam_v3,2026-06-25T14:56:59Z,not_collected,unknown,unknown
